Cell_ID,X,Y
570,686,1039
571,1776,1031
572,717,1034
573,1097,1029
574,788,1036
575,1231,1036
576,1310,1038
577,944,1037
578,142,1038
579,1941,1039
580,1598,1039
581,86,1044
582,663,1045
583,729,1046
584,1766,1047
585,1150,1048
586,1707,1048
587,1615,1049
588,1446,1050
589,653,1051
590,1074,1052
591,1434,1053
592,1800,1052
593,665,1053
594,1314,1056
595,1356,1054
596,676,1058
597,1196,1057
598,1287,1059
599,731,1058
600,1051,1059
601,1670,1060
602,972,1061
603,1297,1064
604,1706,1064
605,1170,1067
606,1691,1068
607,1799,1068
608,871,1071
609,1002,1071
610,1106,1074
611,1146,1076
612,990,1079
613,1225,1079
614,1560,1080
615,1211,1084
616,1747,1084
617,928,1087
618,1712,1086
619,696,1088
620,845,1088
621,1057,1088
622,683,1089
623,815,1090
624,1011,1091
625,1083,1095
626,1838,1093
627,480,1096
628,1310,1097
629,1021,1097
630,957,1099
631,1823,1099
632,1134,1102
633,982,1103
634,1337,1106
635,1064,1108
636,712,1109
637,918,1110
638,1020,1110
639,1477,1112
640,414,1117
641,462,1115
642,860,1117
643,1587,1118
644,775,1120
645,1722,1120
646,1002,1123
647,158,1125
648,1042,1126
649,1020,1131
650,592,1135
651,479,1138
652,1108,1139
653,1395,1139
654,590,1146
655,598,1143
656,1583,1145
657,1945,1148
658,560,1151
659,1996,1154
660,711,1155
661,1046,1157
662,1700,1158
663,1425,1160
664,602,1164
665,1415,1164
666,1404,1166
667,2013,1165
668,1467,1168
669,1930,1171
670,1328,1180
671,1980,1181
672,1076,1183
673,1482,1185
674,2001,1190
675,1230,1188
676,1000,1196
677,1259,1206
678,519,1211
679,1596,1207
680,1742,1210
681,1753,1209
682,600,1213
683,1001,1214
684,1998,1215
685,1970,1219
686,1543,1221
687,522,1222
688,1985,1221
689,951,1233
690,1932,1237
691,67,1240
692,1061,1240
693,564,1249
694,1043,1250
695,103,1250
696,1905,1250
697,2007,1255
698,1098,1258
699,130,1263
700,1088,1264
701,1041,1273
702,1071,1278
703,1546,1282
704,999,1291
705,952,1296
706,236,1299
707,1015,1303
708,168,1306
709,1510,1314
710,1088,1319
711,1049,1330
712,1058,1332
713,980,1334
714,1947,1337
715,1045,1343
716,1082,1351
717,1138,1356
718,419,1359
719,996,1364
720,424,1371
721,936,1372
722,1075,1373
723,1929,1376
724,133,1384
725,1062,1384
726,1867,1385
727,558,1385
728,1922,1386
729,1041,1389
730,135,1394
731,2006,1396
732,1074,1398
733,974,1399
734,983,1409
735,643,1411
736,1445,1412
737,1941,1414
738,528,1414
739,1099,1415
740,1078,1415
741,66,1424
742,1877,1426
743,526,1429
744,732,1428
745,570,1431
746,498,1433
747,1037,1433
748,1009,1434
749,660,1434
750,517,1441
751,2033,1441
752,2012,1444
753,554,1445
754,1834,1452
755,533,1452
756,587,1453
757,499,1457
758,1516,1459
759,692,1465
760,608,1468
761,537,1468
762,1895,1468
763,462,1470
764,727,1470
765,1905,1472
766,10,1473
767,1540,1478
768,1560,1479
769,609,1489
770,1998,1490
771,1513,1494
772,1865,1496
773,1874,1499
774,570,1499
775,416,1504
776,530,1505
777,1408,1505
778,593,1508
779,693,1514
780,742,1513
781,819,1518
782,1279,1522
783,731,1524
784,1456,1531
785,1284,1537
786,693,1538
787,710,1547
788,1395,1546
789,1360,1553
790,1335,1558
791,1441,1563
792,173,1566
793,270,1565
794,547,1566
795,1822,1568
796,1427,1568
797,1366,1571
798,1253,1573
799,667,1576
800,854,1577
801,1354,1576
802,1196,1578
803,1112,1578
804,430,1579
805,1504,1580
806,1479,1583
807,1273,1587
808,73,1586
809,829,1588
810,1644,1586
811,1337,1592
812,235,1595
813,1950,1597
814,155,1597
815,142,1607
816,1275,1606
817,1481,1606
818,1292,1608
819,1344,1608
820,1715,1608
821,1175,1608
822,1382,1610
823,601,1611
824,1366,1611
825,240,1613
826,823,1616
827,1397,1615
828,140,1618
829,840,1620
830,1196,1621
831,782,1627
832,525,1625
833,1326,1626
834,873,1634
835,1162,1635
836,1626,1635
837,1739,1635
838,1701,1637
839,1247,1637
840,547,1639
841,1210,1641
842,1641,1641
843,259,1644
844,1564,1644
845,583,1650
846,1652,1651
847,1062,1652
848,189,1654
849,1292,1655
850,1612,1653
851,1226,1657
852,1316,1658
853,1756,1660
854,1640,1663
855,1283,1666
856,402,1667
857,1244,1668
858,1096,1670
859,495,1675
860,616,1675
861,1596,1677
862,1787,1679
863,1301,1681
864,250,1683
865,1113,1687
866,1522,1687
867,793,1691
868,859,1693
869,890,1692
870,1795,1693
871,388,1696
872,1214,1697
873,941,1700
874,1492,1705
875,1277,1702
876,601,1704
877,1543,1705
878,1093,1705
879,1558,1707
880,1459,1708
881,1130,1711
882,1646,1711
883,605,1715
884,1865,1715
885,217,1715
886,1712,1717
887,880,1719
888,867,1720
889,1142,1720
890,1558,1723
891,723,1730
892,1428,1727
893,1715,1729
894,786,1733
895,1758,1733
896,1532,1736
897,558,1739
898,1621,1737
899,1220,1740
900,1418,1746
901,1708,1743
902,1320,1745
903,704,1746
904,1342,1747
905,1364,1747
906,1752,1749
907,847,1750
908,704,1753
909,1259,1752
910,1243,1757
911,884,1759
912,1632,1759
913,1604,1763
914,362,1763
915,698,1768
916,1289,1769
917,1495,1773
918,1587,1776
919,1672,1777
920,675,1779
921,1533,1784
922,1397,1789
923,347,1792
924,1714,1792
925,1609,1793
926,773,1799
927,1734,1799
928,198,1800
929,473,1801
930,1590,1806
931,716,1808
932,392,1810
933,1332,1809
934,1485,1814
935,752,1824
936,778,1828
937,903,1829
938,1265,1830
939,1407,1832
940,1640,1833
941,330,1833
942,434,1833
943,1728,1839
944,363,1841
945,1382,1850
946,1292,1850
947,732,1854
948,1361,1864
949,672,1865
950,1391,1864
951,354,1866
952,1419,1866
953,1483,1872
954,291,1874
955,905,1872
956,1317,1876
957,865,1879
958,816,1888
959,1549,1890
960,730,1893
961,1240,1894
962,1195,1896
963,504,1896
964,1386,1898
965,354,1909
966,1405,1913
967,1577,1917
968,675,1921
969,916,1928
970,536,1930
971,536,1940
972,853,1949
973,1290,1952
974,701,1955
975,1216,1960
976,634,1964
977,1111,1968
978,586,1994
979,745,2003
980,1156,2007
981,803,2008
982,872,2037
